,signal,best_state,best_avg_ret,best_sharpe,worst_state,worst_avg_ret,spread_pct,discriminative,n_states,total_n
4,MFI State,STRONG,1.651,3.03,WEAK,0.119,1.532,True,5,640
3,Daily Bias,BULLISH,0.565,1.05,NEUTRAL,-0.347,0.912,True,3,640
1,BB Position State,FIRST_DIP,0.996,2.32,RIDING_UPPER,0.454,0.542,True,4,640
7,Entry Valid,True,0.839,1.52,False,0.368,0.471,False,2,640
2,Volatility State,NORMAL,0.677,1.24,SQUEEZE,0.212,0.465,False,3,640
8,Momentum Pass,True,0.822,1.52,False,0.396,0.426,False,2,640
9,Full Entry (WR+BB+Bias),True,0.819,1.51,False,0.398,0.421,False,2,640
6,W%R In Momentum,True,0.797,1.45,False,0.381,0.416,False,2,640
0,W%R Phase,LATE,0.75,1.36,NONE,0.381,0.369,False,4,640
5,BB Position,below_mid,0.61,1.17,near_lower,0.341,0.269,False,4,640
10,MFI Divergence,True,0.593,1.28,False,0.499,0.094,False,2,640
