state,n,win_pct,avg_ret,med_ret,std_ret,sharpe,max_dd,max_up,profit_factor,skew,insufficient
BULLISH + STRONG,81,65.4,1.696,1.316,3.919,3.07,-7.77,21.26,3.63,1.5,False
BEARISH + RISING,31,58.1,1.145,1.23,3.552,2.29,-4.15,12.98,2.5,1.31,False
BEARISH + FALLING,107,57.0,0.594,1.172,4.051,1.04,-9.9,16.04,1.46,0.37,False
BEARISH + NEUTRAL,70,57.1,0.54,0.566,3.333,1.15,-7.37,10.36,1.52,0.22,False
ALL (baseline),640,52.7,0.51,0.232,3.7,0.98,-10.54,21.26,1.45,0.62,False
BULLISH + NEUTRAL,91,51.6,0.491,0.039,3.758,0.93,-8.4,12.4,1.45,0.71,False
BULLISH + RISING,121,44.6,0.172,-0.266,3.774,0.32,-10.54,11.33,1.13,0.31,False
BEARISH + WEAK,43,46.5,-0.039,-0.695,3.362,-0.08,-7.72,8.2,0.97,0.51,False
BULLISH + FALLING,56,46.4,-0.17,-0.209,3.635,-0.33,-9.45,11.98,0.87,0.35,False
BEARISH + STRONG,3,,,,,,,,,,True
BULLISH + WEAK,6,,,,,,,,,,True
NEUTRAL + FALLING,10,,,,,,,,,,True
NEUTRAL + NEUTRAL,10,,,,,,,,,,True
NEUTRAL + RISING,10,,,,,,,,,,True
NEUTRAL + WEAK,1,,,,,,,,,,True
